Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; R
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; R
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; DU
1; 90.0; 0.0; 0.0; 80.0; Q
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; Q
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
5; 80.0; 22.0; 16.5; 80.0; DU
6; 75.0; 27.5; 27.5; 80.0; END
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; Q
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; DU
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; DU
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; R
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; R
4; 65.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; R
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; R
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; DU
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; DU
3; 85.0; 11.0; 5.5; 80.0; END
4; 80.0; 16.5; 16.5; 80.0; N
5; 80.0; 22.0; 16.5; 80.0; DU
6; 75.0; 27.5; 27.5; 80.0; R
7; 75.0; 33.0; 27.5; 80.0; N
8; 70.0; 38.5; 38.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; Q
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; DU
1; 90.0; 0.0; 0.0; 80.0; R
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
5; 80.0; 22.0; 16.5; 80.0; Q
6; 75.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; R
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; R
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; DU
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; END
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; R
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; R
4; 65.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; R
4; 80.0; 16.5; 16.5; 80.0; DU
5; 75.0; 27.5; 22.0; 80.0; END
6; 70.0; 33.0; 33.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; R
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; R
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
5; 75.0; 16.5; 16.5; 80.0; N
6; 70.0; 22.0; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; R
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; R
4; 80.0; 5.5; 11.0; 80.0; END
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; DU
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; DU
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; DU
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; R
2; 90.0; 0.0; 0.0; 80.0; DU
3; 100.0; 0.0; 0.0; 80.0; N
4; 100.0; 0.0; 0.0; 80.0; N
5; 95.0; 11.0; 5.5; 80.0; N
6; 90.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; Q
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; R
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; END
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; R
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; DU
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; R
4; 80.0; 5.5; 11.0; 80.0; DU
5; 80.0; 11.0; 11.0; 80.0; N
6; 75.0; 16.5; 22.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; DU
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; END
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; DU
4; 65.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; Q
4; 80.0; 5.5; 11.0; 80.0; N
5; 80.0; 11.0; 11.0; 80.0; N
6; 75.0; 16.5; 22.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; R
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; R
4; 80.0; 16.5; 16.5; 80.0; N
