Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus;;;Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus;;;Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
8; 25.0; 82.0; 82.0; 80.0; Q;;;4; 90.0; 0.0; 0.0; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; DU
9; 30.0; 91.0; 82.0; 80.0; DU;;;1; 75.0; 11.0; 5.5; 80.0; N;;;3; 45.0; 80.0; 72.5; 50.0; END
10; 25.0; 100.0; 100.0; 80.0; N;;;2; 80.0; 11.0; 5.5; 80.0; N;;;4; 50.0; 72.5; 72.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; R;;;3; 85.0; 16.5; 5.5; 80.0; N;;;5; 60.0; 65.0; 65.0; 50.0; N
2; 10.0; 100.0; 100.0; 80.0; N;;;4; 80.0; 22.0; 16.5; 80.0; N;;;6; 60.0; 57.5; 65.0; 50.0; N
3; 20.0; 91.0; 91.0; 80.0; R;;;1; 75.0; 11.0; 5.5; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
4; 20.0; 82.0; 91.0; 80.0; Q;;;2; 70.0; 16.5; 16.5; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; DU
5; 25.0; 91.0; 91.0; 80.0; END;;;3; 70.0; 22.0; 16.5; 80.0; N;;;3; 60.0; 50.0; 42.5; 50.0; R
6; 20.0; 100.0; 100.0; 80.0; N;;;4; 75.0; 16.5; 16.5; 80.0; N;;;4; 65.0; 50.0; 42.5; 50.0; N
7; 30.0; 91.0; 91.0; 80.0; R;;;1; 90.0; 0.0; 0.0; 80.0; N;;;5; 70.0; 57.5; 42.5; 50.0; N
8; 30.0; 82.0; 91.0; 80.0; N;;;2; 90.0; 0.0; 0.0; 80.0; DU;;;6; 65.0; 65.0; 57.5; 50.0; DU
1; 30.0; 71.0; 71.0; 80.0; N;;;3; 85.0; 11.0; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
2; 30.0; 62.0; 71.0; 80.0; DU;;;4; 80.0; 16.5; 16.5; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; END
3; 25.0; 80.0; 80.0; 80.0; R;;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; DU
4; 20.0; 89.0; 98.0; 80.0; END;;;2; 95.0; 0.0; 0.0; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; DU;;;3; 90.0; 11.0; 5.5; 80.0; N;;;3; 60.0; 50.0; 42.5; 50.0; DU
2; 20.0; 98.0; 89.0; 80.0; N;;;4; 95.0; 11.0; 5.5; 80.0; N;;;4; 65.0; 50.0; 42.5; 50.0; N
3; 30.0; 89.0; 80.0; 80.0; N;;;1; 75.0; 11.0; 5.5; 80.0; N;;;5; 70.0; 57.5; 42.5; 50.0; DU
4; 35.0; 80.0; 71.0; 80.0; R;;;2; 70.0; 16.5; 16.5; 80.0; N;;;6; 65.0; 65.0; 57.5; 50.0; END
5; 40.0; 89.0; 71.0; 80.0; N;;;3; 80.0; 11.0; 11.0; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
6; 35.0; 98.0; 89.0; 80.0; N;;;4; 80.0; 5.5; 11.0; 80.0; R;;;2; 50.0; 65.0; 57.5; 50.0; END
1; 15.0; 98.0; 89.0; 80.0; N;;;1; 75.0; 11.0; 5.5; 80.0; R;;;1; 60.0; 42.5; 42.5; 50.0; DU
2; 10.0; 100.0; 100.0; 80.0; N;;;2; 70.0; 16.5; 16.5; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
3; 20.0; 91.0; 91.0; 80.0; Q;;;3; 75.0; 22.0; 16.5; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; DU
4; 20.0; 82.0; 91.0; 80.0; N;;;4; 70.0; 27.5; 27.5; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; N;;;1; 90.0; 0.0; 0.0; 80.0; N;;;5; 50.0; 65.0; 65.0; 50.0; DU
2; 10.0; 100.0; 100.0; 80.0; R;;;2; 90.0; 0.0; 0.0; 80.0; N;;;6; 45.0; 72.5; 80.0; 50.0; N
3; 20.0; 91.0; 91.0; 80.0; Q;;;3; 85.0; 11.0; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; N
4; 20.0; 82.0; 91.0; 80.0; DU;;;4; 80.0; 16.5; 16.5; 80.0; N;;;2; 50.0; 65.0; 57.5; 50.0; N
5; 25.0; 91.0; 91.0; 80.0; R;;;1; 90.0; 0.0; 0.0; 80.0; N;;;3; 50.0; 72.5; 57.5; 50.0; DU
6; 20.0; 100.0; 100.0; 80.0; N;;;2; 95.0; 0.0; 0.0; 80.0; N;;;4; 45.0; 80.0; 72.5; 50.0; END
7; 30.0; 91.0; 91.0; 80.0; N;;;3; 90.0; 11.0; 5.5; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
8; 30.0; 82.0; 91.0; 80.0; N;;;4; 95.0; 11.0; 5.5; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; DU
1; 15.0; 98.0; 89.0; 80.0; DU;;;1; 75.0; 11.0; 5.5; 80.0; N;;;3; 60.0; 50.0; 42.5; 50.0; END
2; 10.0; 100.0; 100.0; 80.0; N;;;2; 70.0; 16.5; 16.5; 80.0; Q;;;4; 55.0; 57.5; 57.5; 50.0; DU
3; 20.0; 91.0; 91.0; 80.0; Q;;;3; 70.0; 22.0; 16.5; 80.0; N;;;5; 50.0; 72.5; 65.0; 50.0; END
4; 20.0; 82.0; 91.0; 80.0; N;;;4; 65.0; 27.5; 27.5; 80.0; N;;;6; 55.0; 72.5; 65.0; 50.0; N
5; 25.0; 91.0; 91.0; 80.0; DU;;;1; 90.0; 0.0; 0.0; 80.0; DU;;;7; 55.0; 80.0; 65.0; 50.0; N
6; 20.0; 100.0; 100.0; 80.0; END;;;2; 90.0; 0.0; 0.0; 80.0; N;;;8; 60.0; 72.5; 65.0; 50.0; N
1; 30.0; 71.0; 71.0; 80.0; N;;;3; 85.0; 11.0; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
2; 30.0; 62.0; 71.0; 80.0; N;;;4; 80.0; 16.5; 16.5; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; END
3; 25.0; 80.0; 80.0; 80.0; DU;;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
4; 20.0; 89.0; 98.0; 80.0; END;;;2; 95.0; 0.0; 0.0; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; N;;;3; 90.0; 11.0; 5.5; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; DU
2; 10.0; 100.0; 100.0; 80.0; DU;;;4; 95.0; 11.0; 5.5; 80.0; N;;;4; 60.0; 50.0; 50.0; 50.0; N
3; 20.0; 91.0; 91.0; 80.0; N;;;1; 90.0; 0.0; 0.0; 80.0; DU;;;1; 45.0; 65.0; 57.5; 50.0; N
4; 20.0; 82.0; 91.0; 80.0; N;;;2; 95.0; 0.0; 0.0; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; N
1; 30.0; 71.0; 71.0; 80.0; N;;;3; 90.0; 11.0; 5.5; 80.0; DU;;;3; 45.0; 80.0; 72.5; 50.0; N
2; 30.0; 62.0; 71.0; 80.0; N;;;4; 85.0; 16.5; 16.5; 80.0; R;;;4; 50.0; 72.5; 72.5; 50.0; DU
3; 25.0; 80.0; 80.0; 80.0; N;;;5; 80.0; 27.5; 22.0; 80.0; DU;;;1; 60.0; 42.5; 42.5; 50.0; N
4; 30.0; 80.0; 80.0; 80.0; R;;;6; 75.0; 33.0; 33.0; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; N;;;7; 75.0; 38.5; 33.0; 80.0; N;;;3; 60.0; 50.0; 42.5; 50.0; N
2; 10.0; 100.0; 100.0; 80.0; R;;;8; 70.0; 44.0; 44.0; 80.0; N;;;4; 55.0; 57.5; 57.5; 50.0; DU
3; 20.0; 91.0; 91.0; 80.0; END;;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
4; 20.0; 82.0; 91.0; 80.0; R;;;2; 95.0; 0.0; 0.0; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; N
5; 30.0; 73.0; 82.0; 80.0; N;;;3; 90.0; 11.0; 5.5; 80.0; DU;;;3; 60.0; 50.0; 42.5; 50.0; N
6; 30.0; 64.0; 82.0; 80.0; N;;;4; 95.0; 11.0; 5.5; 80.0; R;;;4; 55.0; 57.5; 57.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; DU;;;5; 90.0; 22.0; 11.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 20.0; 98.0; 89.0; 80.0; N;;;6; 95.0; 22.0; 11.0; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; N
3; 30.0; 89.0; 80.0; 80.0; DU;;;1; 75.0; 11.0; 5.5; 80.0; N;;;3; 60.0; 50.0; 42.5; 50.0; N
4; 30.0; 80.0; 80.0; 80.0; N;;;2; 70.0; 16.5; 16.5; 80.0; N;;;4; 55.0; 57.5; 57.5; 50.0; DU
5; 30.0; 89.0; 80.0; 80.0; N;;;3; 80.0; 11.0; 11.0; 80.0; R;;;1; 60.0; 42.5; 42.5; 50.0; N
6; 25.0; 98.0; 98.0; 80.0; N;;;4; 80.0; 5.5; 11.0; 80.0; END;;;2; 60.0; 35.0; 42.5; 50.0; DU
1; 15.0; 98.0; 89.0; 80.0; DU;;;1; 75.0; 11.0; 5.5; 80.0; DU;;;3; 55.0; 50.0; 50.0; 50.0; END
2; 20.0; 98.0; 89.0; 80.0; R;;;2; 70.0; 16.5; 16.5; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; DU
3; 30.0; 89.0; 80.0; 80.0; N;;;3; 80.0; 11.0; 11.0; 80.0; N;;;5; 45.0; 72.5; 72.5; 50.0; END
4; 30.0; 80.0; 80.0; 80.0; Q;;;4; 80.0; 5.5; 11.0; 80.0; N;;;6; 40.0; 80.0; 87.5; 50.0; N
5; 25.0; 98.0; 89.0; 80.0; DU;;;1; 90.0; 0.0; 0.0; 80.0; N;;;7; 40.0; 87.5; 87.5; 50.0; DU
6; 30.0; 98.0; 89.0; 80.0; N;;;2; 95.0; 0.0; 0.0; 80.0; DU;;;8; 45.0; 80.0; 87.5; 50.0; N
7; 35.0; 100.0; 89.0; 80.0; N;;;3; 90.0; 11.0; 5.5; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
8; 30.0; 100.0; 100.0; 80.0; N;;;4; 85.0; 16.5; 16.5; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
1; 30.0; 71.0; 71.0; 80.0; N;;;1; 75.0; 11.0; 5.5; 80.0; DU;;;3; 55.0; 50.0; 50.0; 50.0; DU
2; 30.0; 62.0; 71.0; 80.0; N;;;2; 80.0; 11.0; 5.5; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; N
3; 25.0; 80.0; 80.0; 80.0; DU;;;3; 85.0; 16.5; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
4; 20.0; 89.0; 98.0; 80.0; R;;;4; 80.0; 22.0; 16.5; 80.0; DU;;;2; 40.0; 72.5; 72.5; 50.0; R
5; 15.0; 100.0; 100.0; 80.0; DU;;;5; 90.0; 16.5; 11.0; 80.0; N;;;3; 50.0; 65.0; 65.0; 50.0; N
6; 10.0; 100.0; 100.0; 80.0; END;;;6; 90.0; 11.0; 11.0; 80.0; DU;;;4; 50.0; 57.5; 65.0; 50.0; Q
1; 30.0; 71.0; 71.0; 80.0; N;;;1; 75.0; 11.0; 5.5; 80.0; N;;;5; 45.0; 72.5; 72.5; 50.0; N
2; 30.0; 62.0; 71.0; 80.0; R;;;2; 80.0; 11.0; 5.5; 80.0; N;;;6; 50.0; 72.5; 72.5; 50.0; DU
3; 25.0; 80.0; 80.0; 80.0; N;;;3; 90.0; 5.5; 0.0; 80.0; Q;;;7; 50.0; 80.0; 72.5; 50.0; END
4; 20.0; 89.0; 98.0; 80.0; Q;;;4; 95.0; 0.0; 0.0; 80.0; N;;;8; 55.0; 72.5; 72.5; 50.0; N
5; 25.0; 98.0; 98.0; 80.0; DU;;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
6; 20.0; 100.0; 100.0; 80.0; R;;;2; 90.0; 0.0; 0.0; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; N
7; 25.0; 100.0; 100.0; 80.0; N;;;3; 85.0; 11.0; 5.5; 80.0; DU;;;3; 45.0; 80.0; 72.5; 50.0; N
8; 20.0; 100.0; 100.0; 80.0; R;;;4; 90.0; 11.0; 5.5; 80.0; N;;;4; 40.0; 87.5; 87.5; 50.0; DU
1; 15.0; 98.0; 89.0; 80.0; N;;;1; 90.0; 0.0; 0.0; 80.0; DU;;;5; 50.0; 80.0; 80.0; 50.0; N
2; 20.0; 98.0; 89.0; 80.0; R;;;2; 95.0; 0.0; 0.0; 80.0; N;;;6; 50.0; 72.5; 80.0; 50.0; N
3; 25.0; 100.0; 89.0; 80.0; N;;;3; 90.0; 11.0; 5.5; 80.0; R;;;1; 45.0; 65.0; 57.5; 50.0; DU
4; 20.0; 100.0; 100.0; 80.0; DU;;;4; 95.0; 11.0; 5.5; 80.0; N;;;2; 50.0; 65.0; 57.5; 50.0; END
5; 30.0; 91.0; 91.0; 80.0; N;;;5; 100.0; 16.5; 5.5; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
6; 35.0; 82.0; 82.0; 80.0; N;;;6; 95.0; 22.0; 16.5; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; DU
1; 15.0; 98.0; 89.0; 80.0; DU;;;1; 75.0; 11.0; 5.5; 80.0; N;;;3; 60.0; 50.0; 42.5; 50.0; R
2; 20.0; 98.0; 89.0; 80.0; END;;;2; 70.0; 16.5; 16.5; 80.0; N;;;4; 65.0; 50.0; 42.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; Q;;;3; 80.0; 11.0; 11.0; 80.0; N;;;5; 70.0; 57.5; 42.5; 50.0; DU
2; 20.0; 98.0; 89.0; 80.0; DU;;;4; 80.0; 5.5; 11.0; 80.0; N;;;6; 75.0; 50.0; 42.5; 50.0; N
3; 15.0; 100.0; 98.0; 80.0; R;;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
4; 20.0; 100.0; 98.0; 80.0; N;;;2; 90.0; 0.0; 0.0; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; N
5; 30.0; 91.0; 89.0; 80.0; N;;;3; 85.0; 11.0; 5.5; 80.0; DU;;;3; 60.0; 50.0; 42.5; 50.0; N
6; 30.0; 82.0; 89.0; 80.0; N;;;4; 80.0; 16.5; 16.5; 80.0; N;;;4; 55.0; 57.5; 57.5; 50.0; DU
1; 30.0; 71.0; 71.0; 80.0; N;;;1; 75.0; 11.0; 5.5; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 35.0; 62.0; 62.0; 80.0; N;;;2; 80.0; 11.0; 5.5; 80.0; DU;;;2; 60.0; 35.0; 42.5; 50.0; DU
3; 30.0; 80.0; 71.0; 80.0; Q;;;3; 85.0; 16.5; 5.5; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; END
4; 35.0; 80.0; 71.0; 80.0; N;;;4; 90.0; 11.0; 5.5; 80.0; N;;;4; 60.0; 50.0; 50.0; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; N;;;1; 90.0; 0.0; 0.0; 80.0; N;;;5; 65.0; 57.5; 50.0; 50.0; DU
2; 10.0; 100.0; 100.0; 80.0; N;;;2; 95.0; 0.0; 0.0; 80.0; DU;;;6; 70.0; 50.0; 50.0; 50.0; N
3; 15.0; 100.0; 100.0; 80.0; DU;;;3; 90.0; 11.0; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
4; 10.0; 100.0; 100.0; 80.0; N;;;4; 85.0; 16.5; 16.5; 80.0; N;;;2; 50.0; 65.0; 57.5; 50.0; END
1; 30.0; 71.0; 71.0; 80.0; N;;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; DU
2; 35.0; 62.0; 62.0; 80.0; N;;;2; 95.0; 0.0; 0.0; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
3; 30.0; 80.0; 71.0; 80.0; N;;;3; 90.0; 11.0; 5.5; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; N
4; 35.0; 80.0; 71.0; 80.0; N;;;4; 95.0; 11.0; 5.5; 80.0; R;;;4; 60.0; 50.0; 50.0; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; DU;;;1; 75.0; 11.0; 5.5; 80.0; DU;;;1; 45.0; 65.0; 57.5; 50.0; DU
2; 10.0; 100.0; 100.0; 80.0; END;;;2; 70.0; 16.5; 16.5; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; END
1; 30.0; 71.0; 71.0; 80.0; R;;;3; 80.0; 11.0; 11.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 30.0; 62.0; 71.0; 80.0; END;;;4; 80.0; 5.5; 11.0; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; DU
1; 15.0; 98.0; 89.0; 80.0; N;;;1; 90.0; 0.0; 0.0; 80.0; DU;;;3; 60.0; 50.0; 42.5; 50.0; N
2; 20.0; 98.0; 89.0; 80.0; N;;;2; 90.0; 0.0; 0.0; 80.0; N;;;4; 55.0; 57.5; 57.5; 50.0; N
3; 30.0; 89.0; 80.0; 80.0; N;;;3; 85.0; 11.0; 5.5; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
4; 35.0; 80.0; 71.0; 80.0; N;;;4; 80.0; 16.5; 16.5; 80.0; DU;;;2; 65.0; 35.0; 35.0; 50.0; N
1; 30.0; 71.0; 71.0; 80.0; N;;;5; 85.0; 22.0; 16.5; 80.0; N;;;3; 60.0; 50.0; 42.5; 50.0; DU
2; 30.0; 62.0; 71.0; 80.0; N;;;6; 80.0; 27.5; 27.5; 80.0; N;;;4; 55.0; 57.5; 57.5; 50.0; N
3; 25.0; 80.0; 80.0; 80.0; R;;;1; 75.0; 11.0; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
4; 30.0; 80.0; 80.0; 80.0; DU;;;2; 80.0; 11.0; 5.5; 80.0; DU;;;2; 50.0; 65.0; 57.5; 50.0; END
5; 25.0; 98.0; 89.0; 80.0; R;;;3; 85.0; 16.5; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
6; 20.0; 100.0; 100.0; 80.0; END;;;4; 90.0; 11.0; 5.5; 80.0; N;;;2; 50.0; 65.0; 57.5; 50.0; END
1; 15.0; 98.0; 89.0; 80.0; DU;;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 10.0; 100.0; 100.0; 80.0; N;;;2; 95.0; 0.0; 0.0; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; N
3; 15.0; 100.0; 100.0; 80.0; DU;;;3; 90.0; 11.0; 5.5; 80.0; DU;;;3; 60.0; 50.0; 42.5; 50.0; N
4; 20.0; 91.0; 100.0; 80.0; END;;;4; 85.0; 16.5; 16.5; 80.0; N;;;4; 65.0; 50.0; 42.5; 50.0; N
1; 30.0; 71.0; 71.0; 80.0; N;;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
2; 30.0; 62.0; 71.0; 80.0; N;;;2; 95.0; 0.0; 0.0; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; END
3; 25.0; 80.0; 80.0; 80.0; Q;;;3; 90.0; 11.0; 5.5; 80.0; R;;;1; 45.0; 65.0; 57.5; 50.0; DU
4; 30.0; 80.0; 80.0; 80.0; N;;;4; 85.0; 16.5; 16.5; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; Q
1; 15.0; 98.0; 89.0; 80.0; R;;;1; 75.0; 11.0; 5.5; 80.0; DU;;;3; 50.0; 65.0; 65.0; 50.0; N
2; 10.0; 100.0; 100.0; 80.0; N;;;2; 70.0; 16.5; 16.5; 80.0; R;;;4; 55.0; 57.5; 57.5; 50.0; N
3; 20.0; 91.0; 91.0; 80.0; N;;;3; 65.0; 27.5; 22.0; 80.0; DU;;;5; 50.0; 72.5; 65.0; 50.0; DU
4; 20.0; 82.0; 91.0; 80.0; N;;;4; 70.0; 27.5; 22.0; 80.0; R;;;6; 45.0; 80.0; 80.0; 50.0; R
1; 15.0; 98.0; 89.0; 80.0; DU;;;5; 80.0; 22.0; 16.5; 80.0; N;;;7; 40.0; 95.0; 87.5; 50.0; DU
2; 10.0; 100.0; 100.0; 80.0; Q;;;6; 80.0; 16.5; 16.5; 80.0; N;;;8; 45.0; 95.0; 87.5; 50.0; R
3; 20.0; 91.0; 91.0; 80.0; N;;;7; 75.0; 27.5; 22.0; 80.0; DU;;;9; 40.0; 100.0; 95.0; 50.0; DU
4; 25.0; 82.0; 82.0; 80.0; N;;;8; 80.0; 27.5; 22.0; 80.0; N;;;10; 45.0; 100.0; 95.0; 50.0; END
5; 20.0; 100.0; 91.0; 80.0; N;;;1; 75.0; 11.0; 5.5; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; DU
6; 25.0; 100.0; 91.0; 80.0; N;;;2; 80.0; 11.0; 5.5; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; R
1; 30.0; 71.0; 71.0; 80.0; N;;;3; 85.0; 16.5; 5.5; 80.0; N;;;3; 75.0; 27.5; 27.5; 50.0; Q
2; 35.0; 62.0; 62.0; 80.0; N;;;4; 80.0; 22.0; 16.5; 80.0; N;;;4; 80.0; 20.0; 20.0; 50.0; N
3; 30.0; 80.0; 71.0; 80.0; DU;;;1; 90.0; 0.0; 0.0; 80.0; N;;;5; 75.0; 35.0; 27.5; 50.0; N
4; 25.0; 89.0; 89.0; 80.0; END;;;2; 95.0; 0.0; 0.0; 80.0; N;;;6; 80.0; 35.0; 27.5; 50.0; R
1; 30.0; 71.0; 71.0; 80.0; N;;;3; 90.0; 11.0; 5.5; 80.0; N;;;7; 85.0; 42.5; 27.5; 50.0; N
2; 35.0; 62.0; 62.0; 80.0; R;;;4; 85.0; 16.5; 16.5; 80.0; N;;;8; 90.0; 35.0; 27.5; 50.0; N
3; 30.0; 80.0; 71.0; 80.0; N;;;1; 75.0; 11.0; 5.5; 80.0; DU;;;1; 60.0; 42.5; 42.5; 50.0; N
4; 25.0; 89.0; 89.0; 80.0; N;;;2; 70.0; 16.5; 16.5; 80.0; R;;;2; 60.0; 35.0; 42.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; N;;;3; 65.0; 27.5; 22.0; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; N
2; 20.0; 98.0; 89.0; 80.0; DU;;;4; 70.0; 27.5; 22.0; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; N
3; 30.0; 89.0; 80.0; 80.0; END;;;5; 70.0; 33.0; 22.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; DU
4; 35.0; 80.0; 71.0; 80.0; N;;;6; 65.0; 38.5; 33.0; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
5; 35.0; 89.0; 71.0; 80.0; N;;;1; 90.0; 0.0; 0.0; 80.0; DU;;;3; 55.0; 50.0; 50.0; 50.0; N
6; 40.0; 80.0; 71.0; 80.0; Q;;;2; 90.0; 0.0; 0.0; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; N;;;3; 85.0; 11.0; 5.5; 80.0; Q;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 10.0; 100.0; 100.0; 80.0; N;;;4; 80.0; 16.5; 16.5; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
3; 15.0; 100.0; 100.0; 80.0; DU;;;5; 85.0; 22.0; 16.5; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; N
4; 10.0; 100.0; 100.0; 80.0; N;;;6; 80.0; 27.5; 27.5; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; DU
1; 30.0; 71.0; 71.0; 80.0; N;;;1; 90.0; 0.0; 0.0; 80.0; R;;;1; 45.0; 65.0; 57.5; 50.0; N
2; 35.0; 62.0; 62.0; 80.0; N;;;2; 95.0; 0.0; 0.0; 80.0; END;;;2; 50.0; 65.0; 57.5; 50.0; DU
3; 30.0; 80.0; 71.0; 80.0; N;;;1; 90.0; 0.0; 0.0; 80.0; N;;;3; 55.0; 72.5; 57.5; 50.0; END
4; 25.0; 89.0; 89.0; 80.0; Q;;;2; 95.0; 0.0; 0.0; 80.0; N;;;4; 50.0; 80.0; 72.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; N;;;3; 90.0; 11.0; 5.5; 80.0; DU;;;5; 60.0; 72.5; 65.0; 50.0; DU
2; 10.0; 100.0; 100.0; 80.0; R;;;4; 95.0; 11.0; 5.5; 80.0; R;;;6; 65.0; 65.0; 57.5; 50.0; N
3; 20.0; 91.0; 91.0; 80.0; N;;;5; 90.0; 22.0; 11.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
4; 20.0; 82.0; 91.0; 80.0; R;;;6; 95.0; 22.0; 11.0; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; DU
5; 25.0; 91.0; 91.0; 80.0; DU;;;1; 75.0; 11.0; 5.5; 80.0; N;;;3; 60.0; 50.0; 42.5; 50.0; N
6; 30.0; 82.0; 91.0; 80.0; R;;;2; 80.0; 11.0; 5.5; 80.0; N;;;4; 55.0; 57.5; 57.5; 50.0; DU
7; 35.0; 91.0; 91.0; 80.0; Q;;;3; 90.0; 5.5; 0.0; 80.0; N;;;5; 60.0; 65.0; 57.5; 50.0; END
8; 30.0; 100.0; 100.0; 80.0; N;;;4; 90.0; 0.0; 0.0; 80.0; DU;;;6; 55.0; 72.5; 72.5; 50.0; DU
1; 15.0; 98.0; 89.0; 80.0; DU;;;1; 90.0; 0.0; 0.0; 80.0; N;;;7; 55.0; 80.0; 72.5; 50.0; N
2; 20.0; 98.0; 89.0; 80.0; END;;;2; 95.0; 0.0; 0.0; 80.0; Q;;;8; 60.0; 72.5; 72.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; N;;;3; 90.0; 11.0; 5.5; 80.0; DU;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 10.0; 100.0; 100.0; 80.0; DU;;;4; 95.0; 11.0; 5.5; 80.0; N;;;2; 65.0; 35.0; 35.0; 50.0; DU
3; 15.0; 100.0; 100.0; 80.0; N;;;5; 95.0; 16.5; 5.5; 80.0; DU;;;3; 60.0; 50.0; 42.5; 50.0; END
4; 10.0; 100.0; 100.0; 80.0; N;;;6; 90.0; 22.0; 16.5; 80.0; END;;;4; 55.0; 57.5; 57.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; N;;;1; 75.0; 11.0; 5.5; 80.0; N;;;5; 60.0; 65.0; 57.5; 50.0; N
